Birch Sliding USB Joystick,,,,,,,,Unit Cost,Total Cost,Total Print time (hr),Total filament (g),,
Version: V1.0,,Last Updated: 2024-June-18,,,,,, $27.50 , $42.80 ,3.65,46.1,,
Commercial Parts,,,,,,,,,,,,,
ID,Part Name,Part Type,QTY,QTY/PKG,$/PKG,PKG QTY,$/Unit,Extended,Total,Link,,,
,Mini 2-Axis Analog Thumbstick,Electrical,1,1, $3.87 ,1, $3.87 , $3.87 , $3.87 ,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/2765/6193582,,,
,Analog Mini Thumbstick Breakout Board,Electrical,1,1, $2.18 ,1, $2.18 , $2.18 , $2.18 ,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/3246/6193594,,,
,Universal Proto-board PCB 4cm x 6cm,Electrical,1,3, $3.63 ,1, $1.21 , $1.21 , $3.63 ,https://www.digikey.ca/en/products/detail/adafruit-industries-llc/4785/13617529,,,
,SeeedStudio XAIO RP2040,Electrical,1,1, $6.80 ,1, $6.80 , $6.80 , $6.80 ,https://www.digikey.ca/en/products/detail/seeed-technology-co-ltd/102010428/14672129,,,
,"24 AWG Wire, 1 foot",Electrical,1,1, $0.80 ,1, $0.80 , $0.80 , $0.80 ,https://www.digikey.ca/en/products/detail/cnc-tech/1007-24-1-2000-007-1-TD/17799170 ,,,
,M2 x 6 mm Self Tapping Screws,Mechanical,8,1000, $12.99 ,1, $0.01 , $0.10 , $12.99 ,https://a.co/d/1mQQYbU ,,,
,USB C cable - 6 ft,Electrical,1,1, $3.28 ,1, $3.28 , $3.28 , $3.28 ,https://www.digikey.ca/en/products/detail/cvilux-usa/DH-20M50053/13177348 ,,,
,M3 hex nut x2,Mechanical,2,1, $0.28 ,2, $0.28 , $0.56 , $0.56 ,https://www.digikey.ca/en/products/detail/keystone-electronics/4708/4499301 ,,,
,(Optional for mount) M3x12mm screw x2,Mechanical,0,1, $1.11 ,0, $1.11 , $-   , $-   ,https://www.digikey.ca/en/products/detail/apm-hexseal/RM3X12MM-2701/2063201 ,,,
